"chapter_A looming disaster_event_0_title","Подкравшись ближе слова начали обретать форму в ваших ушах"
"chapter_A looming disaster_event_1_title","Благородные семьи, они близки к войне друг с другом"
"chapter_A looming disaster_event_2_title","Ваша матушка была обеспокоена не меньше, она отвечала тихим бормотанием, ее слова было сложно различить"
"chapter_A looming disaster_event_3_title","Но что привело к такому хаосу?"
"chapter_A looming disaster_event_4_title","Король тяжело болен. Все маневрируют, стремясь пропихнуть своего кандидата на роль наследника"
"chapter_A looming disaster_event_5_title","А принцессу, единственного ребенка короля, они увезли далеко от столицы, полагаю, чтобы обеспечить ее безопасность"
"chapter_Birth_event_0_title","Когда вы впервые открываете глаза, мир вокруг вас представляет собой размытое пятно теней и света"
"chapter_Birth_event_1_title","Вы чувствуете грубую текстуру набитого соломой матраса под собой и тепло маминых рук, которые она нежно прижимает к вам"
"chapter_Birth_event_2_title","В эти первые мгновения жизни вы становитесь новым членом мира, который одновременно суров и прекрасен, полон вызовов и возможностей"
"chapter_First adventure_event_0_title","Взросление открыло для вас новые горизонты, вы научились ходить и говорить. В этот обычный день, похожий на многие предыдущие, вам становится скучно, чем займетесь?"
"chapter_First adventure_event_1_title","Найдя брата, на его лице расплывется знакомая ухмылка, приглашающая вас на очередной раунд игры в рыцарей и драконов"
"chapter_First adventure_event_2_title","Увидев вас, глаза сестры загораются, она затаскивает вас в комнату и уже готовит десятки нарядов, в которые собирается вас одеть"
"chapter_First adventure_event_3_title","Через какое-то время голос вашего отца разносится по коридорам, зовя вас в главную комнату"
"chapter_First adventure_event_4_title","Ваша матушка и отец увидев вас заулыбались, отец недолго думая заговорил"
"chapter_First adventure_event_5_title","Предпочитаешь ли ты сосредоточиться на изучении искусства меча, как подобает дворянину нашего уровня, или же ты предпочитаешь, чтобы учителя обучали тебя дома?"
"chapter_First adventure_event_6_title","Дослушав отца, ваша матушка осторожно вмешивается, ее вера в силу знаний сияет"
"chapter_First adventure_event_7_title","Образование не менее важно, мой дорогой"
"chapter_First adventure_event_8_title","Теперь вам предстоит принять решение, стать на перепутье между мечом и пером, между ожиданиями отца и надеждами матери, на что упадет ваш взор?"
"chapter_First adventure_event_9_title","Ваш отец начнет обучать вас искусству фехтования. Двор станет вашим новым классом"
"chapter_First adventure_event_10_title","Обрадованная матушка организует приезд лучших наставников к вам домой"
"chapter_First adventure_event_11_title","Дни сливаются друг с другом, каждый день вы с отцом занимаетесь фехтованием. Со временем вам становится скучно"
"chapter_First adventure_event_12_title","Дни сливаются друг с другом, каждый день вы учите много нового, учителя не оставляют вас и на минуту. Со временем вам становится скучно"
"chapter_First adventure_event_13_title","Обычно вы гуляеете во дворе дома, играя с братом или убегая от сестры во время ее очередного модного вдохновения"
"chapter_First adventure_event_14_title","Как только ваша нога переступает границу вашего дома, вас окружает яркая симфония деревенской жизни"
"chapter_First adventure_event_15_title","Эта деревня, находящаяся под покровительством вашего отца, являет собой картину ухоженного спокойствия и красоты сельской жизни"
"chapter_First adventure_event_16_title","После длительной прогулки, вы выходите к развилке. Одна из дорог ведет прямо, другая же  - налево. Впереди виднеется башня"
"chapter_First adventure_event_17_title","Приближаясь к башне, вы чувствуете, как усиливается ветер, заставляя трепетать флаги, которыми украшена башня"
"chapter_First adventure_event_18_title","У основания башни вы замечаете грозную дверь, которую охраняют два стражника"
"chapter_First adventure_event_19_title","Добрый день, молодой господин"
"chapter_First adventure_event_20_title","Это наша сторожевая башня, юный господин. Она возвышается, чтобы следить за всем, что происходит вокруг"
"chapter_First adventure_event_21_title","За этой дверью - сеть подземных туннелей, протянувшихся под всей деревней"
